,Id,Name,Nationality,Gender,DateAcquired
132767,49568,GOLDIN+SENNEBY,Swedish,0,2016
132769,49569,Basel Abbas,Palestinian,Male,0
132770,49570,Ruanne Abou-Rahme,Palestinian,Female,0
132771,49571,John Akomfrah,British,Male,2016
132772,49573,Ian Cheng,American,Male,2016
132775,49584,Shaun Gladwell,Australian,Male,2016
132777,49585,Miguel Rio Branco,Brazilian,Male,2016
132814,49586,Jacolby Satterwhite,American,Male,2016
132823,49594,Julio Agostinelli,Brazilian,Male,2016
132824,49595,André Carneiro,Brazilian,Male,2016
132825,49596,Lucílio Corrêa Leite Filho,Brazilian,Male,2016
132826,49597,Ivo Ferreira da Silva,Brazilian,Male,2016
132827,49598,German Lorca,Brazilian,Male,2016
132835,49599,Aldo Augusto de Souza Lima,Brazilian,Male,2016
132836,49600,João Bizarro Da Nave Filho,Portuguese,Male,2016
132837,49601,Thon de Does,Dutch,Male,2015
132838,49602,Arata Endo,Japanese,0,0
132839,49603,Walter Niedermayr,Italian,Male,2016
132840,49613,Lida Moser,American,Female,2016
132843,49614,Aslı Çavuşoğlu,Turkish,Female,2016
132845,49616,Hudinilson Jr.,Brazilian,Male,2016
132847,49622,Avery Singer,American,0,2016
132848,49623,Carlos Leppe,Chilean,Male,2018
132851,49627,Palmer Hayden,American,Male,2016
132852,49658,Suguru Ishizaki,Japanese,Male,0
132853,49659,Robert Silvers,American,Male,0
132854,49660,Earl Rennison,American,Male,0
132855,49662,Yin Yin Wong,American,Male,0
132856,49664,Jeffrey Ventrella,American,0,0
132857,49682,Fazal Sheikh,American,Male,2016
132988,49696,Roger Higgins,American,0,0
132989,49699,Pamela Rosenkranz,Swiss,Female,2016
132990,49713,K8 Hardy,American,Female,2018
132991,49719,Eric Marciano,American,Male,2016
132992,49733,Sharon Johnston,American,Female,0
132993,49734,Mark Lee,American,Male,0
132994,49799,Mike Topp,American,male,0
132995,49816,Dale Henry,American,male,2016
132996,49819,Christian Hasucha,German,0,0
132997,49820,Milan Kunc,Czech,0,0
132998,49821,Hervé Di Rosa,French,0,0
132999,49822,Louis Jammes,French,0,0
133000,49855,Edvard Ravnikar,0,0,0
133001,49860,Stanko Kristl,0,0,0
133002,49864,Milan Mihelič,0,0,0
133003,49881,Jean-Pierre Wilhelm,German,0,0
133004,49882,Jürgen Flimm,German,0,0
133005,49887,Charles Harrison,American,Male,2016
133006,49888,Ronald Rael,American,Male,0
133007,49889,Virginia San Fratello,American,Female,0
133008,49899,Paul Wolff,German,Male,2017
133010,49913,Robert Alexander,0,0,0
133011,49915,Charles Brittin,0,Male,0
133012,49916,Cameron,0,0,0
133013,49917,Marion Grogan,0,Female,0
133014,49918,Hermann Hesse,Swiss,Male,0
133015,49919,David Meltzer,0,Male,0
133016,49950,Marko Mušič,Slovenian,Male,2019
133017,49951,Janko Konstantinov,Macedonian,Male,2019
133022,49952,Georgi Konstantinovski,Macedonian,Male,2018
133026,49954,Biro 71,0,0,0
133027,49958,Romain Urhausen,Luxembourger,Male,2016
133028,49959,Luc Dietrich,French,Male,2001
133029,49961,Štefan Kacin,0,0,0
133030,49962,Jurij Princes,0,0,0
133031,49963,Bogdan Splinder,0,0,0
133032,49964,Marjan Uršič,0,0,0
133033,49972,Elisabeth Hase,German,Female,2016
133036,49992,Tatjana Neidhardt,0,0,0
133037,49995,Juraj Neidhardt,Croatian,Male,2021
133064,49996,Šahzija Dreca,0,0,0
133065,49998,Omar Carreño,Venezuelan,Male,2016
133067,50000,María Freire,Uruguayan,Female,2016
133068,50001,Carlos González Bogen,Venezuelan,Male,2016
133070,50002,Elsa Gramcko,Venezuelan,Female,2016
133071,50003,Alfredo Hlito,Argentine,Male,2016
133074,50004,Judith Lauand,Brazilian,Female,2016
133075,50005,Rubén Núñez,Venezuelan,Male,2016
133077,50006,Rhod Rothfuss,Uruguayan,Male,2016
133078,50007,Luiz Sacilotto,Brazilian,Male,2016
133079,50008,Džemal Čelić,0,0,0
133080,50011,Antonieta Sosa,Venezuelan,Female,2016
133081,50014,Boro Mileusnić,0,0,0
133082,50015,Rubem Valentim,Brazilian,Male,2016
133084,50016,Gregorio Vardanega,Argentine,Male,2016
133085,50017,Virgilio Villalba,Argentine,Male,2016
133086,50018,Franz Weissmann,Brazilian,Male,2016
133087,50019,Juan Alberto Molenberg,Argentine,Male,2016
133088,50020,Nat Fein,American,Male,2016
133089,50029,Enver Jahić,0,0,0
133090,50030,Zlatko Ugljen,Bosnian,Male,2018
133099,50039,Adidas,German,0,2017
133100,50040,Ray-Ban,American,0,2018
133101,50041,Prada,Italian,0,0
133102,50043,Schott NYC,American,0,0
133103,50045,Converse,American,0,2018
133104,50058,"Spanx, est. 2000",American,0,0
133105,50059,Speedo,Australian,0,2017
133106,50069,Linens by Dewan,0,0,0
133107,50074,Heiner Reddemann,0,Male,0
133108,50083,Richard Learoyd,British,Male,2016
133110,50084,Niko Kralj,Slovenian,Male,2017
133112,50161,The Velvet Underground,0,0,0
133113,50164,Albert Kahn,American,Male,0
133114,50170,Dinko Kovačić,Croatian,Male,0
133115,50186,Mickey Ortiz,0,0,2012
133116,61403,Yve Laris Cohen,American,Male,2016
133117,61404,Cécile B. Evans,American,Female,2016
133118,61633,Milton Weiner,American,Male,2016
133119,61772,Alexander Hammid,American,Male,2001
133123,61871,Carlotta Corpron,American,Female,2017
133125,62329,Roger Schall,French,Male,2018
133137,62630,Rosalyn Drexler,American,Female,2017
133138,62653,Karl Wirsum,American,Male,2017
133139,62654,James Ingo Freed,American,Male,0
133140,62733,Richard Jackson,American,Male,2018
133141,62765,Mieczysław Szczuka,Polish,Male,0
133142,62810,Henry Ossawa Tanner,American,Male,2019
133146,62944,Frederic Karoly,American,Male,2016
133149,63418,"Porsche AG, Stuttgart, Germany",German,0,0
133150,63783,Nick de Morgoli,French,Male,2018
133151,63994,John Smith,British,Male,2017
133152,64461,Bernard Villemot,French,Male,0
133153,64760,Constance DeJong,American,Female,2017
133154,64766,Eliel Saarinen,Finnish,Male,2018
133155,65027,Anatol Stern,Polish,Male,2018
133156,65082,Wolf Knoebel,0,0,2007
133157,65088,Ketty La Rocca,Italian,Female,2017
133159,65861,Alden B. Dow,American,Male,0
133160,66091,Lois Dodd,American,Female,2018
133161,66101,Eileen Cowin,American,Female,2021
133162,66134,Otto Haesler,German,Male,0
133163,66197,Peter Greenaway,British,Male,0
133164,66367,Herman Miller Clock Co.,0,0,0
133165,66584,Ignazio Gardella,Italian,Male,2016
133166,66807,Charles A. Arnold Jr.,American,Male,1987
133167,66863,Elenhank Designers Inc.,0,0,0
133168,67012,Ka Markelius,0,Female,0
133169,67013,Ljungberg's Textile AB,0,0,0
133170,67095,Samuel Fosso,French,Male,2016
133184,67097,Ivan Štraus,Bosnian,Male,2019
133188,67099,National Union of Sahrawi Women,Sahrawi,0,0
133189,67100,Ali Tayar,American,Male,2016
133191,67111,Vaclav Pozarek,Czech,Male,2016
133192,67112,Claudia Comte,Swiss,Female,2016
133197,67113,Nancy Linn,0,0,0
133198,67114,Max Becher,German,0,0
133199,67122,Giorgia Lupi,Italian,Female,0
133200,67127,John Sex,American,Male,0
133201,67128,Egidio Bonfante,Italian,Male,2000
133202,67189,Mohammad Shawky Hassan,Egyptian,Male,2016
133203,67192,Bob & Bob,0,0,2013
133204,67194,"New Era Cap Co., Inc",American,0,2018
133205,67195,Steve Lacy,0,0,2013
133206,67201,"Glen Raven, Inc.",American,0,2017
133207,67220,Moncler,Italian,0,2018
133208,67222,"Bossi, Mortara",Italian,0,2016
133209,67233,Bogdan Bogdanović,Serbian,Male,2019
133313,67236,Mastropaul Design,0,0,0
133314,67237,Jim McWilliams,American,0,0
133315,67240,Tamiko Thiel,American,Female,0
133316,67262,Parallel Design Partnership,0,0,0
133317,67264,Ewald Hoinkis,German,Male,2017
133320,67267,Elfriede Stegemeyer,German,Female,2017
133322,67272,Toyin Ojih Odutola,American,Female,2016
