,Name
Carey Maxon,2
Lily Cushing,2
Cosima von Bonin,2
Alice von Pechmann,2
Mary Curtis,2
Susan Unterberg,2
Marie Luise Lebschik,2
Mary L. Seaman,2
Hajra Waheed,2
Huguette Franco,2
Rosa Loy,2
Victoria Sambunaris,2
Priscilla T. Forthman,2
Ruth Orkin,2
Sylvia Sleigh,2
Julia Lohmann,2
Gertrud Arndt,2
Anicka Yi,2
Betty Hahn,2
Sandi Fellman,2
Lisa Steele,2
Cindy Bernard,2
Vera Bocayuva Mindlin,2
Yva (Else Ernestine Neuländer),2
Charlene Liu,2
Christa Ehrlich,2
Sam Taylor-Wood,2
Tone Vigeland,2
Judith Bernstein,2
Noemi Smilansky,2
Halina Chrostowska,2
Manon de Boer,2
Kerstin Kartscher,2
Jennifer Morla,2
Catherine Wagner,2
Stefana McClure,2
Polly Apfelbaum,2
Gloria Cortella,2
Claudia Hart,2
Roser Llop Bru,2
Zoe Crosher,2
A.K. Burns,2
Claude Cahun (Lucy Schwob),2
Johanna Kandl,2
Markéta Luskacová,2
Kazuko Miyamoto,2
Regina Maria De Luise,2
Frances Butler,2
Leslie Beaton,2
Alicja Szubert-Olszewska,2
Shinako Sato,2
Lourdes Portillo,2
Olga De Amaral,2
Ryah Ludins,2
Ursula Morley Price,2
Janet Sobel,2
Agnès Varda,2
matali crasset,2
Louisiana Bendolph,2
Martha Wilson,2
Kate Millett,2
Tania Bruguera,2
Joan Semmel,2
Jennett Lam,2
Bea Nettles,2
Jane Dickerman,2
Janet Fish,2
Nina Tryggvadottir,2
Noriko Ambe,2
Janice Kerbel,2
Hulleah J. Tsinhnahjinnie,2
Minerva Cuevas,2
Lucy Raven,2
Florence Knoll,2
Berni Searle,2
Elinor Carucci,2
Patricia Jon Carroll,2
Betty Goodwin,2
Ewa Partum,2
Bouchra Khalili,2
Jacqueline Poncelet,2
Allyson Strafella,2
Miriam Cahn,2
Eva Rothschild,2
Angela Jansen,2
Antonia Campi,2
Liang Yue,2
Chunghi Choo,2
Alice Adams,2
Carol Block Taback,2
Amy Arbus,2
Miriam Chiaverini,2
Jennie C. Jones,2
Frances Felten,2
Patricia Urquiola,2
Ekaterina Zernova,2
Futzie Nutzle,2
Dora Jung,2
Karen Heagle,2
Ivana Keser,2
Inge Morath,2
Aurèlia Muñoz,2
Hermine David,2
Izabella Gustowska,2
Janet Cardiff,2
Laylah Ali,2
Samella Lewis,2
Maria Bri-Bein,2
Aslı Çavuşoğlu,2
Nancy Buchanan,2
Nomathemba Tana,2
Monika Sosnowska,2
Betty Clark Little,2
Rochelle Feinstein,2
Pia Gazzola,2
Ulrike Rosenbach,2
Ebecho Muslimova,2
Suwon Lee,2
Helen De Michiel,2
Leslie Thornton,2
Vera Ivanova,2
Rosalind Nashashibi,2
Genevieve Naylor,2
Michelle Segre,2
Jen DeNike,2
Karen Eubel,2
Branda Miller,2
Luchita Hurtado,2
Nairy Baghramian,2
Milly Steger,2
Nair Benedicto,2
Jody Shields,2
Donna-Lee Phillips,2
Luca Crippa,2
Mimi Parent,2
Susan Friedman,2
Lidy Prati,2
Sandra Llano-Mejia,2
Teresita Fernández,2
Althea McNish,2
Sandra Mujinga,2
Patty Chang,2
Marlow Moss,2
Evelene Wechsler,2
Barbara Rossi,2
Ruth Vollmer,2
Margaret Watkins,2
Martha Diamond,2
Maria Lagorio,2
Mariana Yampolsky,2
Nathlie Provosty,2
Tarsila do Amaral,2
Mariana Cook,2
Mariah Robertson,2
Clare Stephenson,2
Li Yongbin,2
Meridel Rubenstein,2
Ilene Segalove,2
Greta Magnusson Grossman,2
Hilda Morris,2
Annett Zinsmeister,2
Wendy MacNeil,2
Ann McCoy,2
Shirley Goldfarb,2
Marina Pinsky,2
Ena Swansea,2
Jessica Stockholder,2
Klára Tamás,2
Sue Williamson,2
Judith Barry,2
Kathleen Agnoli,2
Carla Arocha,2
Torun Bülow-Hübe,2
Tria Giovan,2
Mabelle Richardson,2
Sophie Tottie,2
Sylvia Gosse,2
Jessie Tarbox Beals,2
Jill Moser,2
Llewellyn Xavier,2
Jóhanna Boga,2
Nancy Grossman,2
Jessica Diamond,2
Maria Catalina Otero Lamas,2
Etel Adnan,2
Lotte Beese,2
Terry Evans,2
Jutta Koether,2
Sandy Walker,2
Nina Lola Bachhuber,2
Joëlle Tuerlinckx,2
Monica Majoli,2
Catherine Lee,2
Judith Black,2
Monika Baer,2
Martine Barrat,2
Maria Magdalena Campos-Pons,2
Marilynn K. Yee/The New York Times,2
Kay Rosen,2
Beth Campbell,2
Olga Costa,2
Charlotte Perriand,2
Sylvia Wolf,2
April Greiman,2
Cornelia Parker,2
Colette Alvarez Urbajtel,2
Mary Lee Bendolph,2
Michele Abeles,2
Maria Uhden,2
Claire Wagner Kosterlitz,2
Odette des Garets,2
Josephine Meckseper,2
Dalla Husband,2
Margherita Manzelli,2
Rosemarie Castoro,2
Andrea Geyer,2
Lee Conklin,2
Lesley Vance,2
Amalia Pica,2
Dara Friedman,2
Joan Brown,2
Monika Correa,2
Lynn Davis,2
Franziska Furter,2
Sheila Fournier,2
Yvonne Droge-Wendel,2
Georgina Starr,2
Moik Schiele,2
Katharina Grosse,2
Fannie Hillsmith,2
Ruth Velissaratos,2
Mary Callery,2
Ati Maier,2
Clare Rojas,2
Ketty La Rocca,2
Helen Marten,2
Elyn Zimmerman,2
Rimma Zanjevskaja,2
Tracey Emin,2
Maria Hees,2
Mary Kocol,2
Susan Kaprov,2
Cecelia Condit,2
Elfi Schuselka,2
Mildred Thompson,2
Sarah Walker,2
Joan Witek,2
Lina Zervudaki,2
Barbara Mors,2
Judith Godwin,2
Elisabeth Frink,2
Helen Rae,2
Dora M. Batty,2
Susan Hiller,2
Carlotta Corpron,2
Betty Woodman,2
Mariko Mori,2
Sara Sosnowy,2
Ellen Spiro,2
Barbara Hammann,2
Martha Tuttle,2
Alma Woodsey Thomas,2
Helen Torr,2
Barbara Degerman,2
Joanna Piotrowska,2
Alice Baber,2
Dayanita Singh,2
Eloise Howard,2
Silvia Kolbowski,2
Saloua Raouda Choucair,2
Valentina Khodasevich,2
Jill Baroff,2
Loretta Fahrenholz,2
Annette Kelm,2
Kristin Lucas,2
Mary Ethel Thompson,2
Esphyr Slobodkina,2
Constance Brenner Vieira Da Cunha,2
Dorothy Hood,2
Meredith Danluck,2
Robin Schwartz,2
Berlinde De Bruyckere,2
Trude Fleischmann,2
Helga Nykopp,2
Miriam Böhm,2
Elizabeth Hallenbeck,2
Gretchen Bender,2
Susan Hambleton,2
Lisa Ruyter,2
Sally Osborn,2
Alena Kučerová,2
Jamie Isenstein,2
Francesca Woodman,2
Shambhavi,2
Dulce Carneiro,2
Gabrielle L’Hirondelle Hill,2
Lynne Drexler,2
Elfriede Stegemeyer,2
Edith Behring,2
Grega Košak,2
Madelon Vriesendorp,2
Elaine Reichek,2
Nicola López,2
Lucy Skaer,2
Suzy Lake,2
Bonnie Maclean,2
Sue Fuller,2
Gae Aulenti,2
Emily Fuller,2
Karin Apollonia Müller,2
Majda Dobravec-Lajovic,2
Elizabeth Blackadder,2
Valery Gerlovin,2
Dawn Clements,2
Judith Lauand,1
Tiona Nekkia McClodden,1
Edna Clarke-Hall,1
Jacqueline Lamba,1
Maja Bajevic,1
Liudmila Shmit-Ryzhova,1
Adi Rosenblum,1
Kathy High,1
Georgianna Stout,1
Sarah Grilo,1
Stanya Kahn,1
Sherry Miller,1
Hồng-An Trương,1
Julia Weist,1
Joan Webster Price,1
Catriona Duffy,1
